Agency,Geographic Unit,Geographic Identifier,Indicator,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019
DSNY,Community District,Manhattan 3,Sidewalks rated acceptably clean (%),97.6,97.30,96.8,96.8,95.6571,96.8685,97.3039,96.9703,NA
DSNY,Community District,Manhattan 2,Sidewalks rated acceptably clean (%),98.8,99.30,99,98.5,97.5356,98.6722,98.1749,99.5306,NA
DSNY,Community District,Manhattan 1,Sidewalks rated acceptably clean (%),99.7,99.70,99.4,98.6,98.5708,99.7468,98.9534,99.3527,NA
DSNY,Community District,Brooklyn 18,Sidewalks rated acceptably clean (%),95.7,95.50,95.8,94.7,94.8299,95.7774,97.5883,96.0946,NA
DSNY,Community District,Brooklyn 17,Sidewalks rated acceptably clean (%),95.7,95.40,94.5,94.4,94.4821,94.4883,95.9035,94.8528,NA
DSNY,Community District,Brooklyn 16,Sidewalks rated acceptably clean (%),86.4,84.80,84.1,85.5,81.7349,82.916,88.5896,86.0054,NA
DSNY,Community District,Brooklyn 15,Sidewalks rated acceptably clean (%),96.9,97.10,96.5,96,96.9608,97.2367,97.2413,97.4688,NA
DSNY,Community District,Brooklyn 14,Sidewalks rated acceptably clean (%),95.1,93.70,94.3,93.2,94.2454,95.3162,96.0117,96.561,NA
DSNY,Community District,Brooklyn 13,Sidewalks rated acceptably clean (%),93.7,94.40,92.2,90.4,91.8966,94.2586,95.4731,96.7939,NA
DSNY,Community District,Brooklyn 12,Sidewalks rated acceptably clean (%),95.2,94.20,92.7,92.1,93.1712,92.8942,94.4402,93.9742,NA
DSNY,Community District,Brooklyn 11,Sidewalks rated acceptably clean (%),96.3,95.30,95.2,94.6,96.3609,97.118,97.9358,97.2596,NA
DSNY,Community District,Brooklyn 10,Sidewalks rated acceptably clean (%),97.9,98.20,97.8,97.3,97.8654,97.604,98.7176,98.7358,NA
DSNY,Community District,Brooklyn 9,Sidewalks rated acceptably clean (%),92.5,90.40,91.3,90.4,89.3791,92.01,94.2821,94.7223,NA
DSNY,Community District,Brooklyn 8,Sidewalks rated acceptably clean (%),94.9,95.00,92,91,86.7299,92.4875,94.4516,94.8588,NA
DSNY,Community District,Brooklyn 7,Sidewalks rated acceptably clean (%),93.9,94.40,92.7,93.2,92.3783,96.7149,96.5713,93.6025,NA
DSNY,Community District,Brooklyn 6,Sidewalks rated acceptably clean (%),95.7,94.10,93.4,96.1,94.3468,95.5929,96.3389,94.6522,NA
DSNY,Community District,Brooklyn 5,Sidewalks rated acceptably clean (%),91.3,89.20,87.7,90,89.5308,89.4678,92.2815,89.8789,NA
DSNY,Community District,Brooklyn 4,Sidewalks rated acceptably clean (%),92.3,91.10,90,89.1,90.5034,88.7487,91.9596,91.4674,NA
DSNY,Community District,Brooklyn 3,Sidewalks rated acceptably clean (%),90.4,89.40,87.8,88,85.8356,89.5905,91.9151,93.4743,NA
DSNY,Community District,Brooklyn 2,Sidewalks rated acceptably clean (%),96,94.90,95.6,95.3,95.0962,96.7705,97.3702,98.1456,NA
DSNY,Community District,Brooklyn 1,Sidewalks rated acceptably clean (%),92,91.50,91.5,92.7,91.0288,93.1549,95.7833,95.2559,NA
DSNY,Community District,Bronx 12,Sidewalks rated acceptably clean (%),96.9,95.50,96.5,95.9,95.7907,95.3164,94.9648,96.8151,NA
DSNY,Community District,Bronx 11,Sidewalks rated acceptably clean (%),97.3,96.70,96.7,96.3,95.7898,95.5438,97.0598,96.1285,NA
DSNY,Community District,Bronx 10,Sidewalks rated acceptably clean (%),98.7,99.30,99.2,98.9,98.8684,98.4536,98.7701,99.0523,NA
DSNY,Community District,Bronx 9,Sidewalks rated acceptably clean (%),97.1,97.20,97.6,96.4,96.4185,97.3889,98.8794,98.1937,NA
DSNY,Community District,Bronx 8,Sidewalks rated acceptably clean (%),99.1,98.60,98.2,98.7,98.5129,99.1087,99.5116,98.9716,NA
DSNY,Community District,Bronx 7,Sidewalks rated acceptably clean (%),97.6,97.70,96.1,96.7,95.2686,95.2703,97.6568,95.7011,NA
DSNY,Community District,Bronx 6,Sidewalks rated acceptably clean (%),94.5,95.40,95.6,93.8,93.1981,91.8603,94.7372,95.0431,NA
DSNY,Community District,Bronx 5,Sidewalks rated acceptably clean (%),96.9,96.70,96.8,93.2,92.9504,94.8959,96.5114,95.674,NA
DSNY,Community District,Bronx 4,Sidewalks rated acceptably clean (%),94.6,94.90,95.4,94.1,92.1927,95.8523,96.1179,95.4277,NA
DSNY,Community District,Bronx 3,Sidewalks rated acceptably clean (%),93.4,92.40,93.2,91.6,89.7891,92.4739,92.8503,92.854,NA
DSNY,Community District,Bronx 2,Sidewalks rated acceptably clean (%),93.1,90.00,88.8,89.5,87.4332,88.9884,94.3976,91.5323,NA
DSNY,Community District,Bronx 1,Sidewalks rated acceptably clean (%),92.7,92.10,92.4,93.1,90.2474,92.7384,93.4004,93.8959,NA
DSNY,Community District,Staten Island 3,Streets rated filthy (%),0,0.00,0,0.1,0,0,0,0,NA
DSNY,Community District,Staten Island 2,Streets rated filthy (%),0.1,0.00,0.1,0.1,0.0813,0,0,0,NA
DSNY,Community District,Staten Island 1,Streets rated filthy (%),0.3,0.30,0,0.7,0.8399,0,0,0.0859,NA
DSNY,Community District,Queens 14,Streets rated filthy (%),0.3,0.00,0.6,0.3,0.1913,0,0,0.1945,NA
DSNY,Community District,Queens 13,Streets rated filthy (%),0.1,0.10,0.1,0,0,0,0,0.0415,NA
DSNY,Community District,Queens 12,Streets rated filthy (%),0.1,0.00,0.1,0.2,0.1721,0.2246,0.0745,0.1626,NA
DSNY,Community District,Queens 11,Streets rated filthy (%),0,0.00,0,0,0,0.0321,0,0.0257,NA
DSNY,Community District,Queens 10,Streets rated filthy (%),0.1,0.10,0.1,0.1,0.0404,0,0.0897,0,NA
DSNY,Community District,Queens 9,Streets rated filthy (%),0.2,0.00,0.3,0.3,0.4704,0.2973,0,0.0284,NA
DSNY,Community District,Queens 8,Streets rated filthy (%),0.1,0.10,0.1,0,0.0627,0,0,0.2769,NA
DSNY,Community District,Queens 7,Streets rated filthy (%),0.2,0.00,0,0,0.019,0.0369,0.0912,0.0655,NA
DSNY,Community District,Queens 6,Streets rated filthy (%),0,0.00,0.2,0.1,0,0,0,0,NA
DSNY,Community District,Queens 5,Streets rated filthy (%),0.3,0.00,0.1,0.2,0.4966,0.0257,0.0499,0.1271,NA
DSNY,Community District,Queens 4,Streets rated filthy (%),0.9,0.20,0.2,0.6,0.0901,0.1916,0,0.1928,NA
DSNY,Community District,Queens 3,Streets rated filthy (%),0.2,0.10,0.3,0.2,0.8028,0.19,0.3372,0.8907,NA
DSNY,Community District,Queens 2,Streets rated filthy (%),0.3,0.50,0.4,1.4,0.8216,0.1655,0.485,0.5741,NA
DSNY,Community District,Queens 1,Streets rated filthy (%),0.3,0.30,0.3,0.6,0.452,0.2966,0.0826,0.085,NA
DSNY,Community District,Brooklyn 18,Streets rated filthy (%),0.6,0.10,0,0.3,0.8215,0.3555,0.0394,0.2531,NA
DSNY,Community District,Brooklyn 17,Streets rated filthy (%),0.3,0.10,0.2,0.3,0.2311,0.0326,0.1762,0.1984,NA
DSNY,Community District,Brooklyn 16,Streets rated filthy (%),0.1,0.40,0.2,0.2,0.9114,0.775,0.5181,1.4196,NA
DSNY,Community District,Brooklyn 15,Streets rated filthy (%),0.3,0.00,0.2,0.1,0,0.0838,0,0.1604,NA
DSNY,Community District,Brooklyn 14,Streets rated filthy (%),1.4,1.00,1.1,1.3,0.5974,0.5122,0.234,0.6409,NA
DSNY,Community District,Brooklyn 13,Streets rated filthy (%),0.3,0.10,0.3,0.4,0.2362,0.1777,0.1482,0.0906,NA
DSNY,Community District,Brooklyn 12,Streets rated filthy (%),1.8,0.70,1.8,1.6,1.5515,1.3297,0.7526,1.4957,NA
DSNY,Community District,Brooklyn 11,Streets rated filthy (%),0.8,0.30,0.3,1.3,0.1675,0.3451,0.2196,0.4805,NA
DSNY,Community District,Brooklyn 10,Streets rated filthy (%),0.3,0.20,0.2,0.2,0,0.1576,0,0,NA
DSNY,Community District,Brooklyn 9,Streets rated filthy (%),0.6,0.10,0.5,0.7,0.679,0.1617,0.2508,0,NA
DSNY,Community District,Brooklyn 8,Streets rated filthy (%),0.7,0.10,0.1,0.4,1.857,0.5783,0.3751,0.5679,NA
DSNY,Community District,Brooklyn 7,Streets rated filthy (%),0.9,0.20,0.4,1.4,0.836,0.1474,0.2267,0.1463,NA
DSNY,Community District,Brooklyn 6,Streets rated filthy (%),0.6,0.30,0.3,0.2,0.2595,0.2964,0.0205,0.1221,NA
DSNY,Community District,Brooklyn 5,Streets rated filthy (%),0.2,0.00,0.1,0.1,0.4874,0.1982,0.1129,0.4203,NA
DSNY,Community District,Brooklyn 4,Streets rated filthy (%),0.6,0.10,0.3,0.4,0.7085,0.3583,0,0.2144,NA
DSNY,Community District,Brooklyn 3,Streets rated filthy (%),0.3,0.30,0.6,0.7,0.8707,0.2559,0.2428,0.5825,NA
DSNY,Community District,Brooklyn 2,Streets rated filthy (%),0.4,0.30,0.2,0.3,0.1157,0.434,0.1295,0.133,NA
DSNY,Community District,Brooklyn 1,Streets rated filthy (%),0.6,0.80,0.4,0.9,0.8993,0.3645,0.3197,0.4764,NA
DSNY,Community District,Bronx 12,Streets rated filthy (%),0.2,0.10,0,0.2,0.4783,0.2351,0.1102,0.1825,NA
DSNY,Community District,Bronx 11,Streets rated filthy (%),0.4,0.10,0.1,0.3,0.2316,0.0591,0,0.1657,NA
DSNY,Community District,Bronx 10,Streets rated filthy (%),0,0.20,0,0,0.0467,0,0,0,NA
DSNY,Community District,Bronx 9,Streets rated filthy (%),0.2,0.10,0.1,0.3,0.2479,0.317,0,0.0336,NA
DSNY,Community District,Bronx 8,Streets rated filthy (%),0,0.10,0.1,0,0.2289,0.063,0.033,0.079,NA
DSNY,Community District,Bronx 7,Streets rated filthy (%),0.3,0.20,0.1,0.5,1.0102,0.0913,0.2817,0.2071,NA
DSNY,Community District,Bronx 6,Streets rated filthy (%),0.8,0.10,0,0.5,0.4935,0.0772,0.3474,0.2839,NA
DSNY,Community District,Bronx 5,Streets rated filthy (%),0.5,0.10,0.2,1.6,1.6777,0.2966,0,0.1148,NA
DSNY,Community District,Bronx 4,Streets rated filthy (%),0.2,0.20,0.2,1.9,1.5195,0.5395,0.0459,0.2501,NA
DSNY,Community District,Bronx 3,Streets rated filthy (%),1.1,1.00,0.7,1.1,1.0975,1.0586,0.5001,1.0359,NA
DSNY,Community District,Bronx 2,Streets rated filthy (%),0.2,0.10,0.2,0.6,0.6199,0.3632,0.2274,0.6422,NA
DSNY,Community District,Bronx 1,Streets rated filthy (%),0.8,0.20,0.7,0.2,0.8327,0.7444,0.4517,0.6362,NA
DSNY,Community District,Manhattan 12,Streets rated filthy (%),0.6,0.10,0.5,0.6,0.7162,0.4618,0.2295,0.7709,NA
DSNY,Community District,Manhattan 11,Streets rated filthy (%),0.8,0.30,0.3,0.8,1.1517,0.448,0.092,0.4772,NA
DSNY,Community District,Manhattan 10,Streets rated filthy (%),0.9,0.40,0.7,0.6,0.9019,0.5863,0.1349,0.3175,NA
DSNY,Community District,Manhattan 9,Streets rated filthy (%),0,0.00,0,0.3,0.5989,0.4167,0.2243,0.2241,NA
DSNY,Community District,Manhattan 8,Streets rated filthy (%),0.1,0.10,0,0,0,0,0,0.0644,NA
DSNY,Community District,Manhattan 7,Streets rated filthy (%),0.3,0.00,0,0,0.1321,0.0331,0,0,NA
DSNY,Community District,Manhattan 6,Streets rated filthy (%),0.4,0.00,0,0.3,0.5939,0,0.2973,0,NA
DSNY,Community District,Manhattan 5,Streets rated filthy (%),0.7,0.40,0.6,0.2,0,0.1109,0,0.3437,NA
DSNY,Community District,Manhattan 4,Streets rated filthy (%),0.3,0.00,0.1,0.2,0.3867,0.1311,0.1445,0.0676,NA
DSNY,Community District,Manhattan 3,Streets rated filthy (%),0.9,0.30,0.5,0.2,1.1005,0.4443,0.2287,0.4488,NA
DSNY,Community District,Manhattan 2,Streets rated filthy (%),0,0.00,0,0,0.2576,0.0916,0,0.1306,NA
DSNY,Community District,Manhattan 1,Streets rated filthy (%),0.1,0.10,0.1,0.9,0.6617,0,0,0.1368,NA
DSNY,Community District,Staten Island 3,Streets rated acceptably clean (%),99.7,99.40,99.6,99.2,98.7239,99.4523,99.4514,98.9633,NA
DSNY,Community District,Staten Island 2,Streets rated acceptably clean (%),98.2,98.30,97.8,98.3,98.0825,99.3721,99.9266,98.8905,NA
DSNY,Community District,Staten Island 1,Streets rated acceptably clean (%),94.7,96.00,94.6,94.5,93.9698,94.874,96.0636,96.6268,NA
DSNY,Community District,Queens 14,Streets rated acceptably clean (%),95.8,96.30,92.8,95.3,93.7811,95.6144,96.1969,96.2717,NA
DSNY,Community District,Queens 13,Streets rated acceptably clean (%),97.2,97.90,96.7,96.3,95.9193,96.3644,97.1152,97.5228,NA
DSNY,Community District,Queens 12,Streets rated acceptably clean (%),95.3,94.90,94.9,93.8,92.3677,94.5083,96.2543,94.864,NA
DSNY,Community District,Queens 11,Streets rated acceptably clean (%),99.4,99.40,99,99.2,99.3759,98.9044,98.8072,99.1288,NA
DSNY,Community District,Queens 10,Streets rated acceptably clean (%),94.9,96.20,94.7,94.8,93.8179,96.2525,97.178,95.915,NA
DSNY,Community District,Queens 9,Streets rated acceptably clean (%),91.1,90.90,91.6,93.3,90.1649,94.1562,95.0495,95.1286,NA
DSNY,Community District,Queens 8,Streets rated acceptably clean (%),97.3,97.80,97.9,98.1,97.1045,98.6772,97.7978,97.9892,NA
DSNY,Community District,Queens 7,Streets rated acceptably clean (%),98.5,99.10,98,98.2,98.3871,98.5294,98.2311,97.3077,NA
DSNY,Community District,Queens 6,Streets rated acceptably clean (%),97.3,98.60,97.4,97.4,97.7866,98.7257,97.6572,98.8513,NA
DSNY,Community District,Queens 5,Streets rated acceptably clean (%),95,96.10,94.5,93.6,93.3052,96.7689,97.2676,95.6793,NA
DSNY,Community District,Queens 4,Streets rated acceptably clean (%),86.4,91.10,90.4,88.9,87.8267,92.6076,94.7655,95.3903,NA
DSNY,Community District,Queens 3,Streets rated acceptably clean (%),92.8,93.10,92.7,93.7,93.1544,93.6367,94.8042,94.3145,NA
DSNY,Community District,Queens 2,Streets rated acceptably clean (%),92.6,92.60,91.9,87.6,88.5595,93.4419,93.531,93.4626,NA
DSNY,Community District,Queens 1,Streets rated acceptably clean (%),93.8,94.30,92.8,89.6,88.8101,93.223,95.5701,96.0393,NA
DSNY,Community District,Brooklyn 18,Streets rated acceptably clean (%),93,94.00,93.7,91.6,89.9572,92.3828,93.2771,93.4361,NA
DSNY,Community District,Brooklyn 17,Streets rated acceptably clean (%),92.9,94.60,93.3,90.8,93.0765,94.4988,95.8486,94.2244,NA
DSNY,Community District,Brooklyn 16,Streets rated acceptably clean (%),91,91.10,92.9,89.2,84.4281,88.9892,92.1605,86.9074,NA
DSNY,Community District,Brooklyn 15,Streets rated acceptably clean (%),94.4,95.30,93.7,93.5,93.1914,94.9176,97.4779,94.238,NA
DSNY,Community District,Brooklyn 14,Streets rated acceptably clean (%),89.1,90.90,90,86.6,88.9325,90.055,93.3653,92.4286,NA
DSNY,Community District,Brooklyn 13,Streets rated acceptably clean (%),93.1,93.30,90.5,86.6,93.4716,94.864,93.7947,94.4571,NA
DSNY,Community District,Brooklyn 12,Streets rated acceptably clean (%),85.4,87.50,84,81.3,82.9325,85.772,86.3137,85.0633,NA
DSNY,Community District,Brooklyn 11,Streets rated acceptably clean (%),91.6,93.00,90.6,87.6,94.0106,93.9637,93.9408,93.8597,NA
DSNY,Community District,Brooklyn 10,Streets rated acceptably clean (%),95,96.10,95.5,91.8,93.8289,94.2948,97.8118,97.5048,NA
DSNY,Community District,Brooklyn 9,Streets rated acceptably clean (%),90.3,91.10,86.4,84.4,83.3561,89.9741,92.9919,91.1629,NA
DSNY,Community District,Brooklyn 8,Streets rated acceptably clean (%),92,94.70,91,88.6,83.0804,90.2882,91.8953,89.9042,NA
DSNY,Community District,Brooklyn 7,Streets rated acceptably clean (%),88.8,90.60,88.1,86.8,85.98,91.7999,92.3494,92.6208,NA
DSNY,Community District,Brooklyn 6,Streets rated acceptably clean (%),93.2,95.10,93.4,94.2,93.9428,94.5301,96.0281,95.887,NA
DSNY,Community District,Brooklyn 5,Streets rated acceptably clean (%),93.5,95.10,93.7,93,89.5859,94.0691,92.0731,89.9037,NA
DSNY,Community District,Brooklyn 4,Streets rated acceptably clean (%),92.1,92.30,92.3,88.7,88.2182,89.1361,92.1412,90.4555,NA
DSNY,Community District,Brooklyn 3,Streets rated acceptably clean (%),89.7,92.10,90.6,88.7,84.5423,89.3054,90.7134,89.3699,NA
DSNY,Community District,Brooklyn 2,Streets rated acceptably clean (%),93.8,94.50,94.7,93.1,91.9794,94.296,94.7509,94.7639,NA
DSNY,Community District,Brooklyn 1,Streets rated acceptably clean (%),89.3,91.50,90,88.2,87.1784,90.2472,92.5406,89.5747,NA
DSNY,Community District,Bronx 12,Streets rated acceptably clean (%),94.8,94.50,95.6,91.9,91.2438,92.1258,93.8375,93.8329,NA
DSNY,Community District,Bronx 11,Streets rated acceptably clean (%),95.3,96.40,97.3,94.9,93.1698,96.408,97.9826,95.398,NA
DSNY,Community District,Bronx 10,Streets rated acceptably clean (%),97.8,98.60,98.8,97.8,97.3963,97.6176,99.0341,97.6719,NA
DSNY,Community District,Bronx 9,Streets rated acceptably clean (%),93.1,94.90,93.7,91.9,90.9694,92.3354,96.657,95.1349,NA
DSNY,Community District,Bronx 8,Streets rated acceptably clean (%),97.6,97.50,97.3,96.9,95.4207,97.0281,97.1104,96.9418,NA
DSNY,Community District,Bronx 7,Streets rated acceptably clean (%),94.3,93.50,93.4,88.3,87.8237,93.9076,95.331,93.0139,NA
DSNY,Community District,Bronx 6,Streets rated acceptably clean (%),91.1,94.70,95.3,90.6,90.6083,92.2725,94.1352,91.9303,NA
DSNY,Community District,Bronx 5,Streets rated acceptably clean (%),88.8,93.10,92.6,82.9,82.83,90.7285,92.1366,91.8616,NA
DSNY,Community District,Bronx 4,Streets rated acceptably clean (%),89.6,90.80,92.7,84.3,85.261,92.2273,93.8984,92.7351,NA
DSNY,Community District,Bronx 3,Streets rated acceptably clean (%),89,92.80,91.1,88.1,86.6398,89.7362,89.2463,91.088,NA
DSNY,Community District,Bronx 2,Streets rated acceptably clean (%),92.9,94.30,91.2,90.2,85.9812,92.3221,93.59,92.3294,NA
DSNY,Community District,Bronx 1,Streets rated acceptably clean (%),88.6,91.60,92.5,88.5,86.5782,90.7177,90.2685,90.3675,NA
DSNY,Community District,Manhattan 12,Streets rated acceptably clean (%),92.3,93.80,90.5,86.1,85.3643,87.648,92.9471,89.7908,NA
DSNY,Community District,Manhattan 11,Streets rated acceptably clean (%),88.5,91.30,90.7,87.3,85.01,91.5825,95.5893,91.2254,NA
DSNY,Community District,Manhattan 10,Streets rated acceptably clean (%),88.4,90.70,86.6,86.1,86.645,91.2515,92.0902,91.2824,NA
DSNY,Community District,Manhattan 9,Streets rated acceptably clean (%),93.5,95.10,94.4,91.8,90.4916,94.5394,93.9298,93.5721,NA
DSNY,Community District,Manhattan 8,Streets rated acceptably clean (%),96.5,98.10,97.3,97.8,93.9509,97.9243,97.3695,97.2492,NA
DSNY,Community District,Manhattan 7,Streets rated acceptably clean (%),95.8,97.60,97,96.4,94.1801,96.3037,97.7832,96.9852,NA
DSNY,Community District,Manhattan 6,Streets rated acceptably clean (%),96.3,97.70,96.6,95.1,92.2906,97.9673,96.4356,96.5258,NA
DSNY,Community District,Manhattan 5,Streets rated acceptably clean (%),95.8,96.70,95.5,95,95.2607,96.7131,97.6424,94.4305,NA
DSNY,Community District,Manhattan 4,Streets rated acceptably clean (%),94.4,95.10,95,93.6,91.9053,95.4821,96.9539,95.5766,NA
DSNY,Community District,Manhattan 3,Streets rated acceptably clean (%),87.3,91.90,90.1,87.3,83.5554,90.9791,92.2659,90.9784,NA
DSNY,Community District,Manhattan 2,Streets rated acceptably clean (%),96.6,97.40,96.1,96,94.2839,97.3858,96.9779,96.2803,NA
DSNY,Community District,Manhattan 1,Streets rated acceptably clean (%),95.3,95.90,96.1,93.5,92.7546,97.3665,96.7822,95.3609,NA
DSNY,Community District,Staten Island 3,Refuse Collected for Disposal (tons per day),233.9117,237.29,237.6723,229.0958,226.1298,226.842,227.3677,219.4,221.2
DSNY,Community District,Staten Island 2,Refuse Collected for Disposal (tons per day),187.9399,193.61,194.9591,185.7708,182.6486,184.1583,184.6338,160.5,162.7
DSNY,Community District,Staten Island 1,Refuse Collected for Disposal (tons per day),240.442,245.40,236.4761,229.9625,228.7487,229.5691,233.2075,194.8,196.9
DSNY,Community District,Queens 14,Refuse Collected for Disposal (tons per day),156.4398,161.67,168.0474,164.355,161.7203,160.665,161.3813,113.2,114.7
